mt_spacing_um,D_eff_um2_s,bound_fraction
8.000000000000000167e-02,1.431320534236974196e-01,9.980173611111110565e-01
1.199999999999999956e-01,1.580634609640385047e-01,9.970520833333332833e-01
1.799999999999999933e-01,1.872100288368455101e-01,9.957777777777777617e-01
2.500000000000000000e-01,2.209978406136683948e-01,9.941631944444444535e-01
3.499999999999999778e-01,2.477030974477588410e-01,9.923836805555555918e-01
5.000000000000000000e-01,3.251235786392777105e-01,9.886527777777778248e-01
6.999999999999999556e-01,4.036405807700401693e-01,9.862673611111111294e-01
1.000000000000000000e+00,5.694580565635402047e-01,9.774878472222222614e-01
