p_bind,bound_fraction,D_eff_um2_s
4.000000000000000083e-03,8.520555555555555660e-01,2.066033430898440493e+00
8.000000000000000167e-03,9.207762345679012528e-01,1.112679408755821830e+00
2.000000000000000042e-02,9.666520061728395286e-01,4.656887990436683888e-01
5.000000000000000278e-02,9.864799382716049614e-01,2.024169305542635466e-01
1.199999999999999956e-01,9.933526234567900959e-01,9.777833223412879526e-02
2.999999999999999889e-01,9.969598765432098331e-01,4.254673512714548383e-02
6.999999999999999556e-01,9.983155864197530427e-01,2.444511895424941392e-02
1.000000000000000000e+00,9.985833333333333783e-01,2.032511485804830084e-02
